Gail Collins,<bound method author.rating of <__main__.author instance at 0x1014ece60>>,1,432,9279
Paul Krugman,<bound method author.rating of <__main__.author instance at 0x1014ec908>>,1,514,6706
David Brooks,<bound method author.rating of <__main__.author instance at 0x1014d0c68>>,1,276,4808
Henry Petroski,<bound method author.rating of <__main__.author instance at 0x1014ec878>>,1,297,4066
Alan Flippen,<bound method author.rating of <__main__.author instance at 0x1014befc8>>,1,56,2857
Fernanda Santos,<bound method author.rating of <__main__.author instance at 0x1014ecb90>>,1,266,2160
Steven Erlanger,<bound method author.rating of <__main__.author instance at 0x1014bf1b8>>,1,187,1766
Jonathan Weisman,<bound method author.rating of <__main__.author instance at 0x1014ecd88>>,1,16,2275
Andrew Higgins ,<bound method author.rating of <__main__.author instance at 0x102106878>>,1,236,1236
David M. Herszenhorn,<bound method author.rating of <__main__.author instance at 0x10148f440>>,1,236,1236
Matthew Goldstein,<bound method author.rating of <__main__.author instance at 0x102106dd0>>,1,48,1463
Emmarie Huetteman,<bound method author.rating of <__main__.author instance at 0x101431ea8>>,1,41,1309
Kevin Carey,<bound method author.rating of <__main__.author instance at 0x101434488>>,1,120,1020
Simon Winder,<bound method author.rating of <__main__.author instance at 0x1021068c0>>,1,98,954
Joseph E. Stiglitz,<bound method author.rating of <__main__.author instance at 0x1014d0d88>>,1,73,597
Joe Nocera,<bound method author.rating of <__main__.author instance at 0x1014e8fc8>>,1,87,539
Sam Borden,<bound method author.rating of <__main__.author instance at 0x102106b48>>,1,65,524
Paul Vitello,<bound method author.rating of <__main__.author instance at 0x1014ecea8>>,1,25,305
Martha Rose Shulman,<bound method author.rating of <__main__.author instance at 0x1014cffc8>>,1,1,11
Eli J. Finkel,<bound method author.rating of <__main__.author instance at 0x1014ecf38>>,1,0,0
Frances Robles,<bound method author.rating of <__main__.author instance at 0x1014beea8>>,1,0,0
Andrew Curry,<bound method author.rating of <__main__.author instance at 0x10210bea8>>,1,0,0
Dan Saltzstein,<bound method author.rating of <__main__.author instance at 0x1014d0b00>>,1,0,0
Mike Hale,<bound method author.rating of <__main__.author instance at 0x1014cfef0>>,1,0,0
Julie Satow,<bound method author.rating of <__main__.author instance at 0x1014ece18>>,1,0,0
John F. Burns,<bound method author.rating of <__main__.author instance at 0x102106638>>,1,0,0
Azam Ahmed ,<bound method author.rating of <__main__.author instance at 0x1014ec440>>,1,0,0
Jonathan Mahler,<bound method author.rating of <__main__.author instance at 0x1014ec6c8>>,1,0,0
Taimoor Shah,<bound method author.rating of <__main__.author instance at 0x1014ecc20>>,1,0,0
