The Editorial Board, 30456
Paul Krugman, 24990
Eric Schmitt, 23553
David Brooks, 20442
Sam Borden, 17010
Charles M. Blow, 15822
Thomas L. Friedman, 15675
Tim Arango, 15432
Gail Collins, 14040
Rod Nordland, 13335
Michael R. Gordon, 12570
Alissa J. Rubin, 12384
Nicholas Kristof, 11637
Peter Baker, 11586
Mark Landler, 11445
Scott Cacciola, 11091
Suadad Al-Salhy , 10983
Laurie Goodstein, 10830
Maureen Dowd, 10500
Alissa J. Rubin , 10449
Jonathan Martin, 9843
Adam Nagourney, 9708
Frank Bruni, 9501
Farhad Manjoo, 8901
Jonathan Weisman, 8829
Joe Nocera, 8547
Adam Liptak, 8451
Mark Bittman, 8421
Rod Nordland , 8313
Coral Davenport, 8280
David Leonhardt, 7989
Ravi Somaiya, 7839
Mark Landler , 7599
Carl Zimmer, 7299
Michael S. Schmidt, 7260
Dave Itzkoff, 7146
Richard Pérez-Peña, 7062
Timothy Egan, 6954
Michael Forsythe, 6690
Marc Santora, 6642
John Markoff, 6552
Ross Douthat, 6504
Keith Bradsher, 6438
Jennifer Medina, 6426
Julia Moskin, 6405
Michael R. Gordon , 6291
Charlie Savage, 6246
Rick Gladstone, 6141
A. O. Scott, 6120
Elizabeth A. Harris, 6030
Manohla Dargis, 5829
Charlie Savage , 5823
Pam Belluck, 5793
The New York Times, 5754
Rian X. Chen, 5727
Maria Konnikova, 5691
Enjamin Weiser, 5367
Michael Paulson, 5301
David Streitfeld, 5262
Michael D. Shear , 5220
Richard A. Oppel Jr. , 5220
Eric Schmitt , 5163
Emma G. Fitzsimmons, 5133
Shaila Dewan, 5109
Jeré Longman, 5040
Andrew W. Lehren, 5037
David S. Joachim, 5004
Margalit Fox, 4986
Jennifer Steinhauer, 4974
David Carr, 4971
Carl Hulse, 4923
Helene Cooper , 4917
Abby Goodnough, 4902
Andrew Ferren, 4782
Kenneth Chang, 4674
Jeff Gordinier, 4650
Pete Wells, 4647
Kareem Fahim , 4647
Matthew Rosenberg, 4608
Richard A. Oppel Jr., 4572
Jack Healy, 4548
Matt Flegenheimer, 4458
Kevin Quealy, 4419
Mark Mazzetti, 4392
Neil Irwin, 4320
Matt Apuzzo, 4317
Matt Richtel, 4296
Robert Pear, 4266
Declan Walsh, 4257
Steven Yaccino, 4221
Ian Lovett, 4218
Frances Robles, 4185
Roger Cohen, 4170
Richard Goldstein, 4110
Tara Siegel Bernard, 4110
David Tanis, 3987
Thomas B. Edsall, 3960
Neil Macfarquhar, 3912
J. David Goodman, 3846
Peter Baker , 3786
